source,issuer,isin,wkn,name,derivative_type,derivative_type_id,market,currency,underlying_name,underlying_isin,underlying_asset_class,underlying_country,strike,strike_currency,ratio,issue_date,maturity_date,bid,ask,previous_day_bid,change_percent,leverage,omega,delta,implied_volatility,break_even,intrinsic_value,moneyness,moneyness_text,spread_homogeneous,underlying_price,underlying_price_date,is_public_tradable,is_bid_only,is_matured,is_knocked_out,last_update,product_url
productoscotizados.com,BNP Paribas,DE000BB20126,BB2012,DAX® Call,Call,11,BNP Paribas Direct,EUR,DAX®,DE0008469008,Índices,DE,26000.0,EUR,100.0,2025-02-13,2026-06-19,1.24,1.26,1.24,0.0,196.7573,196.7573,0.14,17.85,26124.0,0.0,0.9384,OUT THE MONEY 6.16%,0.0002,24397.9,2026-05-08,True,False,False,False,2026-05-09T22:02:11.1641709+02:00,https://productoscotizados.com/product-details/DE000BB20126/
productoscotizados.com,BNP Paribas,DE000BB20134,BB2013,DAX® Call,Call,11,BNP Paribas Direct,EUR,DAX®,DE0008469008,Índices,DE,25000.0,EUR,100.0,2025-02-13,2026-06-19,4.05,4.07,4.05,0.0,60.2417,60.2417,0.37,19.16,25405.0,0.0,0.9759,OUT THE MONEY 2.41%,0.0002,24397.9,2026-05-08,True,False,False,False,2026-05-09T22:02:27.8884029+02:00,https://productoscotizados.com/product-details/DE000BB20134/
productoscotizados.com,BNP Paribas,DE000BB20142,BB2014,DAX® Call,Call,11,BNP Paribas Direct,EUR,DAX®,DE0008469008,Índices,DE,24000.0,EUR,100.0,2025-02-13,2026-06-19,9.5,9.52,9.5,0.0,25.682,25.682,0.63,21.33,24950.0,39790.0,1.0166,IN THE MONEY 1.66%,0.0002,24397.9,2026-05-08,True,False,False,False,2026-05-09T22:01:55.5066085+02:00,https://productoscotizados.com/product-details/DE000BB20142/
productoscotizados.com,BNP Paribas,DE000BB20159,BB2015,DAX® Call,Call,11,BNP Paribas Direct,EUR,DAX®,DE0008469008,Índices,DE,23000.0,EUR,100.0,2025-02-13,2026-06-19,17.12,17.16,17.12,0.0,14.2511,14.2511,0.8,24.22,24712.0,139790.0,1.0608,IN THE MONEY 6.08%,0.0004,24397.9,2026-05-08,True,False,False,False,2026-05-09T22:02:11.653624+02:00,https://productoscotizados.com/product-details/DE000BB20159/
productoscotizados.com,BNP Paribas,DE000BB20167,BB2016,DAX® Call,Call,11,BNP Paribas Direct,EUR,DAX®,DE0008469008,Índices,DE,22000.0,EUR,100.0,2025-02-13,2026-06-19,25.92,25.96,25.92,0.0,9.4128,9.4128,0.9,27.46,24592.0,239790.0,1.109,IN THE MONEY 10.90%,0.0004,24397.9,2026-05-08,True,False,False,False,2026-05-09T22:02:27.4410382+02:00,https://productoscotizados.com/product-details/DE000BB20167/
productoscotizados.com,BNP Paribas,DE000BB20175,BB2017,DAX® Call,Call,11,BNP Paribas Direct,EUR,DAX®,DE0008469008,Índices,DE,21000.0,EUR,100.0,2025-02-13,2026-06-19,35.28,35.32,35.28,0.0,6.9155,6.9155,0.94,30.82,24528.0,339790.0,1.1618,IN THE MONEY 16.18%,0.0004,24397.9,2026-05-08,True,False,False,False,2026-05-09T22:02:27.4096447+02:00,https://productoscotizados.com/product-details/DE000BB20175/
productoscotizados.com,BNP Paribas,DE000BB20209,BB2020,DOW JONES IND. Call,Call,11,BNP Paribas Direct,EUR,DOW JONES IND.,US2605661048,Índices,US,42000.0,USD,1000.0,2025-02-13,2026-12-18,7.63,7.65,7.63,0.0,5.516,5.516,0.86,24.58,50991.192,6445434.4874,1.1808,IN THE MONEY 18.08%,0.0,49595.3,2026-05-08,True,False,False,False,2026-05-09T22:01:56.3886267+02:00,https://productoscotizados.com/product-details/DE000BB20209/
productoscotizados.com,BNP Paribas,DE000BB20258,BB2025,DOW JONES IND. Put,Put,12,BNP Paribas Direct,EUR,DOW JONES IND.,US2605661048,Índices,US,42000.0,USD,1000.0,2025-02-13,2026-06-18,0.058,0.0,0.058,0.0,725.6376,725.6376,-0.02,28.07,41931.6528,0.0,0.8469,OUT THE MONEY 18.08%,-0.0001,49595.3,2026-05-08,True,True,False,False,2026-05-09T22:02:11.6059951+02:00,https://productoscotizados.com/product-details/DE000BB20258/
productoscotizados.com,BNP Paribas,DE000BB20266,BB2026,DOW JONES IND. Put,Put,12,BNP Paribas Direct,EUR,DOW JONES IND.,US2605661048,Índices,US,45000.0,USD,1000.0,2025-02-13,2026-06-18,0.13,0.14,0.13,0.0,323.746,323.746,-0.07,22.23,44846.808,0.0,0.9073,OUT THE MONEY 10.21%,0.0,49595.3,2026-05-08,True,False,False,False,2026-05-09T22:01:56.3442973+02:00,https://productoscotizados.com/product-details/DE000BB20266/
productoscotizados.com,BNP Paribas,DE000BB20274,BB2027,DOW JONES IND. Put,Put,12,BNP Paribas Direct,EUR,DOW JONES IND.,US2605661048,Índices,US,48000.0,USD,1000.0,2025-02-13,2026-06-18,0.42,0.43,0.42,0.0,100.2071,100.2071,-0.26,17.49,47505.072,0.0,0.9678,OUT THE MONEY 3.32%,0.0,49595.3,2026-05-08,True,False,False,False,2026-05-09T22:02:27.8358419+02:00,https://productoscotizados.com/product-details/DE000BB20274/
